"";"trabalha";"mae";"raça";"NSEAluno";"major"
"95";"Trabalhar";"Superior+";"Preta";"5.05";"Publica"
"96";"Nao_Sabe";"Fund+";"Branca";"5.93";"Publica"
"97";"Estudar";"Fund-";"Parda";"4.98";"Publica"
"98";"Trabalhar";"Superior+";"Branca";"4.72";"Publica"
"99";"Nao_Sabe";"Fund-";"Branca";"5.29";"Publica"
"100";"Trabalhar";"Fund+";"Branca";"4.43";"Publica"
"101";"Trabalhar";"Fund-";"Preta";"3.98";"Publica"
"102";"Nao_Sabe";"Fund-";"Parda";"4.21";"Publica"
"103";"Trabalhar";"Fund-";"Parda";"5.97";"Publica"
"104";"Nao_Sabe";"Fund-";"Parda";"3.97";"Publica"
"105";"Trabalhar";"Superior+";"Branca";"4.92";"Pub+Pri"
"106";"Trabalhar";"Fund-";"Branca";"5.06";"Publica"
"107";"Trabalhar";"Fund+";"Preta";"4.53";"Publica"
"108";"Trabalhar";"Fund+";"Branca";"5.55";"Publica"
"109";"Trabalhar";"Fund-";"Branca";"4.82";"Publica"
"110";"Estudar";"Fund-";"Branca";"5";"Publica"
"111";"Nao_Sabe";"Superior+";"Preta";"5.32";"Publica"
"112";"Nao_Sabe";"Superior+";"Branca";"6.84";"Pub+Pri"
"113";"Nao_Sabe";"Superior+";"Branca";"4.81";"Publica"
"114";"Nao_Sabe";"Superior+";"Branca";"5.49";"Publica"
"115";"Nao_Sabe";"Superior+";"Parda";"4.45";"Publica"
"116";"Nao_Sabe";"Fund-";"Parda";"5.64";"Publica"
"117";"Trabalhar";"Fund-";"Parda";"4.89";"Publica"
"118";"Trabalhar";"Fund+";"Branca";"6.18";"Publica"
"119";"Nao_Sabe";"Superior+";"Parda";"4.94";"Publica"
"120";"Estudar";"Fund-";"Branca";"4.12";"Publica"
"121";"Trabalhar";"Fund-";"Branca";"5.62";"Publica"
"122";"Nao_Sabe";"Fund+";"Branca";"5.38";"Publica"
"123";"Nao_Sabe";"Fund+";"Parda";"5.04";"Publica"
"124";"Trabalhar";"Fund-";"Parda";"6.4";"Publica"
"125";"Nao_Sabe";"Fund-";"Parda";"4.73";"Publica"
"126";"Nao_Sabe";"Fund+";"Parda";"6.59";"Publica"
"127";"Nao_Sabe";"Medio+";"Parda";"5.37";"Publica"
"128";"Trabalhar";"Superior+";"Parda";"5.35";"Publica"
"129";"Trabalhar";"Fund+";"Parda";"4.79";"Publica"
"130";"Nao_Sabe";"Superior+";"Parda";"5.8";"Publica"
"131";"Nao_Sabe";"Superior+";"Parda";"6.84";"Pub+Pri"
"132";"Trabalhar";"Fund-";"Branca";"5.79";"Publica"
"133";"Nao_Sabe";"Superior+";"Branca";"6.24";"Publica"
"134";"Trabalhar";"Medio+";"Branca";"4.76";"Pub+Pri"
"135";"Nao_Sabe";"Fund-";"Parda";"4.23";"Publica"
"136";"Estudar";"Fund+";"Parda";"6.26";"Publica"
"137";"Estudar";"Fund+";"Branca";"6.95";"Publica"
"138";"Trabalhar";"Fund-";"Parda";"5.19";"Publica"
"139";"Estudar";"Fund+";"Branca";"5.49";"Privada"
"140";"Estudar";"Fund+";"Branca";"5.92";"Publica"
"141";"Estudar";"Medio+";"Branca";"5.57";"Publica"
"142";"Nao_Sabe";"Fund+";"Branca";"5.9";"Publica"
"143";"Estudar";"Fund-";"Parda";"5.52";"Publica"
"144";"Trabalhar";"Fund-";"Branca";"4.51";"Publica"
"145";"Estudar";"Fund+";"Branca";"6.15";"Publica"
"146";"Trabalhar";"Medio+";"Parda";"6.75";"Publica"
"147";"Estudar";"Fund+";"Preta";"5.47";"Publica"
"148";"Nao_Sabe";"Superior+";"Branca";"5.5";"Publica"
"149";"Nao_Sabe";"Superior+";"Branca";"4.23";"Publica"
"150";"Trabalhar";"Fund-";"Branca";"5.41";"Publica"
"151";"Nao_Sabe";"Superior+";"Branca";"6.2";"Publica"
"152";"Nao_Sabe";"Superior+";"Parda";"4";"Publica"
"153";"Nao_Sabe";"Fund+";"Branca";"5.24";"Publica"
"154";"Estudar";"Fund+";"Branca";"5.81";"Publica"
"155";"Trabalhar";"Fund-";"Branca";"4.17";"Publica"
"156";"Nao_Sabe";"Superior+";"Parda";"5.95";"Publica"
"157";"Trabalhar";"Superior+";"Parda";"5.58";"Publica"
"158";"Nao_Sabe";"Fund-";"Preta";"3.65";"Publica"
"159";"Trabalhar";"Fund-";"Parda";"5.59";"Publica"
"160";"Nao_Sabe";"Fund+";"Parda";"5.91";"Publica"
"161";"Trabalhar";"Fund+";"Parda";"4.57";"Publica"
"162";"Trabalhar";"Medio+";"Branca";"6.27";"Publica"
"163";"Estudar";"Medio+";"Branca";"6.41";"Pub+Pri"
"164";"Trabalhar";"Fund-";"Parda";"4.43";"Publica"
"165";"Nao_Sabe";"Superior+";"Parda";"5.24";"Publica"
"166";"Estudar";"Fund-";"Parda";"6.15";"Publica"
"167";"Nao_Sabe";"Fund+";"Branca";"6.5";"Publica"
"168";"Trabalhar";"Fund+";"Preta";"4.8";"Publica"
"169";"Nao_Sabe";"Fund-";"Parda";"4.78";"Publica"
"170";"Nao_Sabe";"Superior+";"Parda";"5.59";"Publica"
"171";"Trabalhar";"Superior+";"Branca";"4.91";"Publica"
"172";"Trabalhar";"Fund+";"Parda";"5.34";"Publica"
"173";"Estudar";"Superior+";"Branca";"6.11";"Publica"
"174";"Trabalhar";"Fund+";"Branca";"6.58";"Publica"
"175";"Trabalhar";"Medio+";"Preta";"5.37";"Publica"
"176";"Nao_Sabe";"Fund+";"Parda";"5.27";"Publica"
"177";"Trabalhar";"Fund-";"Parda";"6.55";"Publica"
"178";"Nao_Sabe";"Fund-";"Branca";"3.89";"Publica"
"179";"Trabalhar";"Medio+";"Preta";"6.2";"Publica"
"180";"Nao_Sabe";"Superior+";"Parda";"4.88";"Publica"
"181";"Trabalhar";"Fund+";"Branca";"4.99";"Publica"
"182";"Nao_Sabe";"Superior+";"Preta";"7.38";"Publica"
"183";"Nao_Sabe";"Fund-";"Preta";"5.9";"Publica"
"184";"Trabalhar";"Fund-";"Parda";"5.43";"Publica"
"185";"Trabalhar";"Superior+";"Parda";"3.72";"Publica"
"186";"Trabalhar";"Fund-";"Parda";"3.81";"Publica"
"187";"Nao_Sabe";"Fund+";"Branca";"5.35";"Publica"
"188";"Trabalhar";"Superior+";"Parda";"3.83";"Publica"
"189";"Estudar";"Fund-";"Branca";"5.71";"Publica"
"190";"Nao_Sabe";"Superior+";"Preta";"4.63";"Publica"
"191";"Trabalhar";"Superior+";"Preta";"4.5";"Publica"
"192";"Nao_Sabe";"Fund+";"Parda";"5.42";"Publica"
"193";"Trabalhar";"Fund+";"Branca";"4.65";"Publica"
"194";"Trabalhar";"Fund-";"Parda";"4.85";"Publica"
"195";"Trabalhar";"Fund-";"Branca";"4.22";"Publica"
"196";"Nao_Sabe";"Fund+";"Branca";"5.79";"Pub+Pri"
"197";"Trabalhar";"Fund+";"Preta";"5.08";"Publica"
"198";"Trabalhar";"Fund+";"Branca";"5.51";"Publica"
"199";"Nao_Sabe";"Fund-";"Preta";"4.81";"Publica"
"200";"Trabalhar";"Fund-";"Parda";"4.91";"Publica"
"201";"Estudar";"Fund+";"Preta";"4.68";"Publica"
"202";"Trabalhar";"Fund+";"Parda";"5.93";"Publica"
"203";"Trabalhar";"Fund+";"Parda";"5.18";"Publica"
"204";"Nao_Sabe";"Fund-";"Preta";"5.74";"Publica"
"205";"Nao_Sabe";"Superior+";"Branca";"6.81";"Publica"
"206";"Estudar";"Fund+";"Branca";"4.81";"Publica"
"207";"Trabalhar";"Medio+";"Parda";"4.89";"Publica"
"208";"Nao_Sabe";"Medio+";"Branca";"6.22";"Publica"
"209";"Nao_Sabe";"Fund+";"Branca";"7.18";"Pub+Pri"
"210";"Trabalhar";"Medio+";"Parda";"5.35";"Publica"
"211";"Trabalhar";"Fund-";"Parda";"4.73";"Publica"
"212";"Trabalhar";"Fund-";"Parda";"5.5";"Publica"
"213";"Trabalhar";"Fund-";"Parda";"6.28";"Publica"
"214";"Nao_Sabe";"Fund+";"Branca";"5.9";"Publica"
"215";"Nao_Sabe";"Fund+";"Preta";"6.18";"Publica"
"216";"Trabalhar";"Fund-";"Parda";"5.64";"Publica"
"217";"Trabalhar";"Superior+";"Parda";"4.21";"Publica"
"218";"Trabalhar";"Fund-";"Branca";"";"Publica"
"219";"Trabalhar";"Fund-";"Parda";"4.83";"Publica"
"220";"Nao_Sabe";"Superior+";"Parda";"4.88";"Publica"
"221";"Nao_Sabe";"Fund+";"Branca";"5.51";"Publica"
"222";"Nao_Sabe";"Fund-";"Branca";"5.47";"Publica"
"223";"Nao_Sabe";"Fund+";"Parda";"6.03";"Publica"
"224";"Trabalhar";"Superior+";"Branca";"5.15";"Publica"
"225";"Nao_Sabe";"Fund+";"Parda";"5.25";"Publica"
"226";"Trabalhar";"Fund+";"Branca";"6.02";"Publica"
"227";"Trabalhar";"Superior+";"Preta";"5.38";"Publica"
"228";"Nao_Sabe";"Medio+";"Branca";"5.13";"Pub+Pri"
"229";"Nao_Sabe";"Superior+";"Parda";"5.93";"Publica"
"230";"Nao_Sabe";"Superior+";"Branca";"4.96";"Publica"
"231";"Estudar";"Fund+";"Branca";"5.66";"Pub+Pri"
"232";"Nao_Sabe";"Superior+";"Parda";"4.22";"Publica"
"233";"Trabalhar";"Fund+";"Parda";"5.26";"Pub+Pri"
"234";"Nao_Sabe";"Fund-";"Parda";"4.68";"Publica"
"235";"Nao_Sabe";"Superior+";"Parda";"5.85";"Publica"
"236";"Nao_Sabe";"Superior+";"Branca";"5.1";"Publica"
"237";"Trabalhar";"Fund-";"Preta";"4.33";"Publica"
"238";"Trabalhar";"Superior+";"Parda";"5.19";"Publica"
"239";"Nao_Sabe";"Fund+";"Branca";"5.76";"Privada"
"240";"Trabalhar";"Superior+";"Parda";"5.74";"Publica"
"241";"Trabalhar";"Fund-";"Parda";"5.13";"Publica"
"242";"Trabalhar";"Superior+";"Parda";"5.1";"Publica"
"243";"Nao_Sabe";"Superior+";"Parda";"5.25";"Publica"
"244";"Nao_Sabe";"Fund-";"Parda";"4.49";"Publica"
"245";"Nao_Sabe";"Fund+";"Parda";"5.75";"Publica"
"246";"Trabalhar";"Fund+";"Parda";"5.97";"Publica"
"247";"Trabalhar";"Fund+";"Branca";"5.69";"Publica"
"248";"Trabalhar";"Fund-";"Parda";"4.52";"Publica"
