"";"trabalha";"mae";"raça";"NSEAluno";"major"
"1722";"Trabalhar";"Fund-";"Branca";"5.61";"Publica"
"1723";"Trabalhar";"Fund-";"Parda";"5.28";"Publica"
"1724";"Trabalhar";"Fund-";"Parda";"5.22";"Publica"
"1725";"Trabalhar";"Fund-";"Branca";"5.11";"Publica"
"1726";"Trabalhar";"Fund+";"Branca";"5.17";"Publica"
"1727";"Estudar";"Fund+";"Parda";"4.47";"Publica"
"1728";"Trabalhar";"Fund-";"Branca";"3.93";"Publica"
"1729";"Trabalhar";"Fund+";"Branca";"5.93";"Publica"
"1730";"Nao_Sabe";"Fund+";"Preta";"5.96";"Publica"
"1731";"Nao_Sabe";"Fund-";"Parda";"4.3";"Publica"
"1732";"Nao_Sabe";"Fund-";"Branca";"3.92";"Publica"
"1733";"Trabalhar";"Fund-";"Branca";"6.23";"Publica"
"1734";"Nao_Sabe";"Fund+";"Parda";"4.92";"Publica"
"1735";"Nao_Sabe";"Fund+";"Branca";"6.58";"Publica"
"1736";"Nao_Sabe";"Fund+";"Branca";"5.81";"Publica"
"1737";"Nao_Sabe";"Fund+";"Branca";"5";"Publica"
"1738";"Trabalhar";"Superior+";"Parda";"5.74";"Publica"
"1739";"Trabalhar";"Fund-";"Parda";"4.87";"Publica"
"1740";"Trabalhar";"Fund+";"Parda";"4.51";"Publica"
"1741";"Trabalhar";"Fund+";"Branca";"5.38";"Publica"
"1742";"Trabalhar";"Fund+";"Parda";"4.87";"Publica"
"1743";"Trabalhar";"Fund-";"Branca";"4.27";"Publica"
"1744";"Nao_Sabe";"Superior+";"Parda";"4.78";"Publica"
"1745";"Trabalhar";"Fund-";"Parda";"4.8";"Publica"
"1746";"Nao_Sabe";"Superior+";"Branca";"6.44";"Publica"
"1747";"Trabalhar";"Medio+";"Parda";"6.08";"Publica"
"1748";"Estudar";"Fund+";"Branca";"6.66";"Publica"
"1749";"Nao_Sabe";"Fund+";"Parda";"4.77";"Publica"
"1750";"Trabalhar";"Superior+";"Branca";"5.26";"Publica"
"1751";"Nao_Sabe";"Fund+";"Branca";"5.98";"Publica"
"1752";"Nao_Sabe";"Fund-";"Preta";"6.31";"Publica"
"1753";"Trabalhar";"Fund-";"Branca";"5.16";"Publica"
"1754";"Estudar";"Fund+";"Branca";"6.63";"Publica"
"1755";"Nao_Sabe";"Fund-";"Parda";"6.17";"Publica"
"1756";"Estudar";"Medio+";"Branca";"6.04";"Publica"
"1757";"Trabalhar";"Fund-";"Branca";"5.53";"Publica"
"1758";"Trabalhar";"Fund+";"Parda";"5.85";"Pub+Pri"
"1759";"Trabalhar";"Fund-";"Preta";"4.48";"Publica"
"1760";"Nao_Sabe";"Fund+";"Branca";"5.53";"Publica"
"1761";"Trabalhar";"Fund-";"Branca";"6.27";"Pub+Pri"
"1762";"Nao_Sabe";"Superior+";"Branca";"6.24";"Publica"
"1763";"Nao_Sabe";"Fund-";"Parda";"4.5";"Publica"
"1764";"Estudar";"Medio+";"Branca";"7.17";"Pub+Pri"
"1765";"Trabalhar";"Fund+";"Preta";"4.34";"Publica"
"1766";"Estudar";"Medio+";"Branca";"7";"Pub+Pri"
"1767";"Nao_Sabe";"Superior+";"Branca";"6.71";"Privada"
"1768";"Estudar";"Fund+";"Parda";"6.16";"Publica"
"1769";"Estudar";"Medio+";"Branca";"7.34";"Pub+Pri"
"1770";"Trabalhar";"Fund+";"Parda";"5.93";"Publica"
"1771";"Estudar";"Medio+";"Branca";"5.28";"Publica"
"1772";"Nao_Sabe";"Fund+";"Branca";"6.04";"Pub+Pri"
"1773";"Estudar";"Medio+";"Parda";"5.63";"Pub+Pri"
"1774";"Nao_Sabe";"Medio+";"Branca";"6.45";"Publica"
"1775";"Nao_Sabe";"Medio+";"Branca";"6.84";"Privada"
"1776";"Estudar";"Medio+";"Branca";"6.78";"Pub+Pri"
"1777";"Nao_Sabe";"Fund+";"Branca";"5.58";"Publica"
"1778";"Trabalhar";"Fund+";"Branca";"5.76";"Publica"
"1779";"Nao_Sabe";"Fund-";"Parda";"4.44";"Publica"
"1780";"Trabalhar";"Fund+";"Branca";"4.21";"Publica"
"1781";"Trabalhar";"Superior+";"Branca";"6.01";"Publica"
"1782";"Trabalhar";"Fund-";"Branca";"4.27";"Pub+Pri"
"1783";"Trabalhar";"Fund-";"Parda";"5.06";"Publica"
"1784";"Trabalhar";"Fund-";"Preta";"4.25";"Publica"
"1785";"Trabalhar";"Fund-";"Parda";"5.11";"Publica"
"1786";"Nao_Sabe";"Fund-";"Branca";"5.47";"Publica"
"1787";"Nao_Sabe";"Fund+";"Branca";"5.3";"Publica"
"1788";"Trabalhar";"Fund+";"Parda";"5.88";"Publica"
"1789";"Trabalhar";"Superior+";"Parda";"4.31";"Publica"
"1790";"Trabalhar";"Superior+";"Preta";"5.81";"Publica"
"1791";"Trabalhar";"Fund+";"Parda";"4.34";"Publica"
"1792";"Trabalhar";"Fund+";"Branca";"5.38";"Publica"
"1793";"Trabalhar";"Fund+";"Branca";"4.58";"Publica"
"1794";"Trabalhar";"Fund-";"Parda";"4.86";"Publica"
"1795";"Trabalhar";"Fund-";"Parda";"5.34";"Publica"
"1796";"Trabalhar";"Superior+";"Preta";"3.73";"Publica"
"1797";"Nao_Sabe";"Fund+";"Parda";"4.9";"Publica"
"1798";"Nao_Sabe";"Fund+";"Parda";"4.68";"Publica"
"1799";"Trabalhar";"Fund-";"Parda";"5.02";"Publica"
"1800";"Trabalhar";"Fund-";"Branca";"6.05";"Publica"
"1801";"Nao_Sabe";"Fund+";"Parda";"6.18";"Publica"
"1802";"Trabalhar";"Medio+";"Branca";"5.62";"Publica"
"1803";"Trabalhar";"Fund-";"Parda";"5.97";"Publica"
"1804";"Trabalhar";"Superior+";"Parda";"6.24";"Publica"
"1805";"Nao_Sabe";"Fund+";"Branca";"5.47";"Publica"
"1806";"Nao_Sabe";"Fund+";"Preta";"5.44";"Publica"
"1807";"Estudar";"Medio+";"Parda";"7.62";"Pub+Pri"
"1808";"Estudar";"Medio+";"Parda";"7.14";"Pub+Pri"
"1809";"Trabalhar";"Fund-";"Parda";"4.96";"Publica"
"1810";"Trabalhar";"Superior+";"Branca";"5.52";"Pub+Pri"
"1811";"Trabalhar";"Fund+";"Branca";"5.94";"Publica"
"1812";"Trabalhar";"Fund+";"Branca";"5.71";"Publica"
"1813";"Trabalhar";"Fund+";"Parda";"5.66";"Publica"
"1814";"Trabalhar";"Fund-";"Branca";"6.11";"Publica"
"1815";"Trabalhar";"Fund-";"Parda";"5.15";"Publica"
"1816";"Trabalhar";"Fund-";"Branca";"5.51";"Publica"
"1817";"Nao_Sabe";"Superior+";"Branca";"";"Publica"
"1818";"Nao_Sabe";"Fund+";"Branca";"6.3";"Pub+Pri"
"1819";"Trabalhar";"Superior+";"Branca";"";"Pub+Pri"
"1820";"Trabalhar";"Fund+";"Parda";"4.49";"Publica"
"1821";"Trabalhar";"Medio+";"Branca";"6.78";"Publica"
"1822";"Trabalhar";"Medio+";"Branca";"6.36";"Publica"
"1823";"Trabalhar";"Fund-";"Branca";"5.52";"Publica"
"1824";"Trabalhar";"Fund+";"Branca";"5.89";"Publica"
"1825";"Trabalhar";"Fund+";"Branca";"7.04";"Publica"
"1826";"Trabalhar";"Fund-";"Parda";"4.87";"Publica"
"1827";"Trabalhar";"Superior+";"Branca";"5.78";"Publica"
"1828";"Nao_Sabe";"Superior+";"Parda";"4.9";"Publica"
"1829";"Trabalhar";"Superior+";"Parda";"5.11";"Publica"
"1830";"Trabalhar";"Fund+";"Branca";"5.51";"Publica"
"1831";"Trabalhar";"Superior+";"Branca";"6.28";"Publica"
"1832";"Trabalhar";"Fund-";"Branca";"4.56";"Publica"
"1833";"Nao_Sabe";"Fund-";"Branca";"5.53";"Publica"
"1834";"Nao_Sabe";"Fund+";"Preta";"4.77";"Publica"
"1835";"Trabalhar";"Medio+";"Branca";"5.94";"Pub+Pri"
"1836";"Trabalhar";"Superior+";"Branca";"4.86";"Publica"
"1837";"Nao_Sabe";"Fund+";"Parda";"4.91";"Publica"
"1838";"Trabalhar";"Fund+";"Parda";"6.54";"Publica"
"1839";"Nao_Sabe";"Medio+";"Branca";"5.7";"Privada"
"1840";"Trabalhar";"Fund-";"Parda";"5.26";"Publica"
"1841";"Nao_Sabe";"Superior+";"Parda";"5.48";"Privada"
"1842";"Trabalhar";"Fund+";"Branca";"5.9";"Publica"
"1843";"Estudar";"Medio+";"Branca";"7.07";"Publica"
"1844";"Trabalhar";"Fund-";"Branca";"5.63";"Publica"
"1845";"Trabalhar";"Fund-";"Preta";"4.43";"Publica"
"1846";"Nao_Sabe";"Fund-";"Branca";"5.56";"Publica"
"1847";"Trabalhar";"Fund-";"Branca";"";"Publica"
"1848";"Nao_Sabe";"Medio+";"Branca";"6.62";"Pub+Pri"
"1849";"Estudar";"Medio+";"Branca";"7.62";"Pub+Pri"
"1850";"Trabalhar";"Superior+";"Parda";"6.03";"Publica"
"1851";"Trabalhar";"Superior+";"Branca";"";"Publica"
"1852";"Trabalhar";"Fund+";"Parda";"";"Publica"
"1853";"Trabalhar";"Fund+";"Branca";"5.1";"Publica"
"1854";"Estudar";"Fund+";"Parda";"4.97";"Publica"
"1855";"Trabalhar";"Superior+";"Branca";"5.09";"Publica"
"1856";"Trabalhar";"Fund+";"Branca";"4.8";"Publica"
"1857";"Trabalhar";"Fund+";"Branca";"6.08";"Pub+Pri"
"1858";"Estudar";"Fund+";"Branca";"6.24";"Publica"
"1859";"Trabalhar";"Superior+";"Parda";"6.02";"Publica"
"1860";"Estudar";"Fund+";"Branca";"5.65";"Publica"
"1861";"Estudar";"Fund+";"Branca";"6.06";"Publica"
"1862";"Nao_Sabe";"Fund-";"Branca";"6.94";"Publica"
"1863";"Trabalhar";"Fund-";"Branca";"5.55";"Publica"
"1864";"Nao_Sabe";"Superior+";"Branca";"5.33";"Publica"
"1865";"Estudar";"Fund+";"Branca";"5.49";"Publica"
"1866";"Trabalhar";"Fund-";"Parda";"5.07";"Publica"
"1867";"Nao_Sabe";"Fund-";"Parda";"4.82";"Publica"
"1868";"Trabalhar";"Fund-";"Branca";"5.97";"Publica"
"1869";"Nao_Sabe";"Fund-";"Branca";"5.19";"Publica"
"1870";"Nao_Sabe";"Superior+";"Parda";"5.64";"Publica"
"1871";"Trabalhar";"Fund+";"Parda";"5.46";"Publica"
"1872";"Trabalhar";"Fund+";"Parda";"3.42";"Publica"
"1873";"Nao_Sabe";"Fund+";"Branca";"5.49";"Publica"
"1874";"Nao_Sabe";"Fund+";"Branca";"5.53";"Publica"
"1875";"Trabalhar";"Fund+";"Branca";"5.39";"Publica"
"1876";"Nao_Sabe";"Superior+";"Branca";"5.28";"Publica"
"1877";"Nao_Sabe";"Superior+";"Branca";"5.34";"Publica"
"1878";"Nao_Sabe";"Superior+";"Preta";"4.32";"Publica"
"1879";"Estudar";"Fund-";"Branca";"5.26";"Publica"
"1880";"Estudar";"Fund+";"Parda";"5.96";"Publica"
"1881";"Trabalhar";"Fund-";"Branca";"5.98";"Publica"
"1882";"Nao_Sabe";"Fund-";"Branca";"4.05";"Publica"
"1883";"Trabalhar";"Fund-";"Parda";"5.62";"Publica"
"1884";"Nao_Sabe";"Fund-";"Branca";"4.31";"Publica"
"1885";"Trabalhar";"Fund+";"Branca";"5.89";"Publica"
"1886";"Nao_Sabe";"Fund-";"Parda";"3.97";"Publica"
"1887";"Nao_Sabe";"Fund-";"Branca";"5.76";"Publica"
"1888";"Nao_Sabe";"Superior+";"Branca";"5.05";"Publica"
"1889";"Nao_Sabe";"Fund+";"Branca";"5.68";"Publica"
"1890";"Trabalhar";"Fund+";"Branca";"4.84";"Publica"
"1891";"Nao_Sabe";"Fund-";"Preta";"3.85";"Publica"
"1892";"Trabalhar";"Fund-";"Branca";"5.04";"Publica"
"1893";"Trabalhar";"Superior+";"Parda";"3.96";"Publica"
"1894";"Trabalhar";"Fund-";"Branca";"6.2";"Publica"
"1895";"Nao_Sabe";"Fund-";"Parda";"3.47";"Publica"
"1896";"Nao_Sabe";"Superior+";"Parda";"4.16";"Publica"
"1897";"Trabalhar";"Fund+";"Parda";"";"Publica"
"1898";"Nao_Sabe";"Superior+";"Parda";"3.65";"Publica"
"1899";"Trabalhar";"Superior+";"Parda";"4.89";"Publica"
"1900";"Trabalhar";"Fund+";"Parda";"6.5";"Publica"
"1901";"Nao_Sabe";"Superior+";"Branca";"4.28";"Publica"
"1902";"Estudar";"Fund+";"Parda";"5.65";"Publica"
"1903";"Trabalhar";"Fund+";"Parda";"5.45";"Publica"
"1904";"Trabalhar";"Fund+";"Parda";"5.52";"Publica"
"1905";"Estudar";"Fund-";"Branca";"6.37";"Publica"
"1906";"Nao_Sabe";"Fund+";"Branca";"5.65";"Publica"
"1907";"Trabalhar";"Fund+";"Branca";"6.01";"Publica"
"1908";"Nao_Sabe";"Superior+";"Branca";"4.91";"Publica"
"1909";"Trabalhar";"Fund+";"Branca";"5.75";"Publica"
"1910";"Trabalhar";"Fund+";"Parda";"5.39";"Publica"
"1911";"Nao_Sabe";"Fund-";"Branca";"5.22";"Publica"
"1912";"Nao_Sabe";"Fund-";"Branca";"4.26";"Publica"
"1913";"Trabalhar";"Fund+";"Branca";"4.93";"Publica"
"1914";"Nao_Sabe";"Fund+";"Branca";"5.4";"Publica"
"1915";"Nao_Sabe";"Fund-";"Branca";"5.69";"Publica"
"1916";"Trabalhar";"Fund-";"Branca";"5.28";"Publica"
"1917";"Trabalhar";"Fund+";"Branca";"5.46";"Publica"
"1918";"Trabalhar";"Fund-";"Branca";"4.35";"Publica"
"1919";"Nao_Sabe";"Superior+";"Parda";"4.69";"Publica"
"1920";"Nao_Sabe";"Superior+";"Branca";"5.35";"Publica"
"1921";"Nao_Sabe";"Medio+";"Branca";"7.02";"Publica"
"1922";"Trabalhar";"Medio+";"Branca";"6.13";"Publica"
"1923";"Trabalhar";"Fund+";"Branca";"5.13";"Publica"
"1924";"Nao_Sabe";"Superior+";"Preta";"5.03";"Publica"
"1925";"Nao_Sabe";"Superior+";"Branca";"5.97";"Publica"
"1926";"Trabalhar";"Fund-";"Parda";"5.42";"Pub+Pri"
"1927";"Trabalhar";"Fund-";"Parda";"4.76";"Publica"
"1928";"Trabalhar";"Fund-";"Parda";"5.15";"Publica"
"1929";"Trabalhar";"Fund-";"Parda";"5.15";"Publica"
"1930";"Trabalhar";"Fund+";"Parda";"5.01";"Publica"
"1931";"Trabalhar";"Superior+";"Branca";"4.19";"Publica"
"1932";"Nao_Sabe";"Superior+";"Branca";"6.33";"Pub+Pri"
"1933";"Trabalhar";"Medio+";"Preta";"4.57";"Publica"
"1934";"Nao_Sabe";"Fund+";"Parda";"5.9";"Pub+Pri"
"1935";"Nao_Sabe";"Fund-";"Parda";"5.63";"Publica"
"1936";"Nao_Sabe";"Fund-";"Parda";"4.25";"Publica"
"1937";"Trabalhar";"Fund+";"Branca";"5.63";"Publica"
"1938";"Estudar";"Fund-";"Preta";"4.47";"Publica"
"1939";"Trabalhar";"Fund-";"Parda";"5.88";"Publica"
"1940";"Nao_Sabe";"Superior+";"Parda";"4.98";"Publica"
"1941";"Nao_Sabe";"Fund-";"Branca";"4.83";"Publica"
"1942";"Nao_Sabe";"Fund-";"Parda";"5.71";"Publica"
"1943";"Trabalhar";"Fund-";"Parda";"4.79";"Publica"
"1944";"Trabalhar";"Fund-";"Preta";"4.56";"Publica"
"1945";"Nao_Sabe";"Superior+";"Branca";"5";"Publica"
"1946";"Trabalhar";"Fund-";"Parda";"4.02";"Publica"
"1947";"Nao_Sabe";"Superior+";"Parda";"5.02";"Publica"
"1948";"Nao_Sabe";"Fund+";"Parda";"5.9";"Pub+Pri"
"1949";"Trabalhar";"Superior+";"Parda";"4.96";"Publica"
"1950";"Nao_Sabe";"Fund-";"Parda";"5.03";"Publica"
"1951";"Estudar";"Medio+";"Preta";"5.65";"Pub+Pri"
"1952";"Nao_Sabe";"Fund-";"Parda";"4.29";"Publica"
"1953";"Nao_Sabe";"Fund+";"Branca";"5.17";"Publica"
"1954";"Nao_Sabe";"Fund-";"Parda";"5.65";"Publica"
"1955";"Trabalhar";"Fund-";"Preta";"4.96";"Publica"
"1956";"Trabalhar";"Fund-";"Parda";"";"Publica"
"1957";"Trabalhar";"Superior+";"Preta";"6.64";"Publica"
"1958";"Trabalhar";"Fund+";"Parda";"4.75";"Publica"
"1959";"Nao_Sabe";"Fund-";"Parda";"3.91";"Publica"
"1960";"Nao_Sabe";"Superior+";"Branca";"5.5";"Publica"
"1961";"Trabalhar";"Fund-";"Branca";"6.19";"Publica"
"1962";"Estudar";"Medio+";"Branca";"5.41";"Publica"
"1963";"Nao_Sabe";"Fund+";"Parda";"4.93";"Publica"
"1964";"Nao_Sabe";"Medio+";"Branca";"6.09";"Publica"
"1965";"Nao_Sabe";"Fund+";"Branca";"6.88";"Publica"
"1966";"Nao_Sabe";"Fund+";"Branca";"5.41";"Publica"
"1967";"Trabalhar";"Superior+";"Parda";"5.56";"Publica"
"1968";"Trabalhar";"Fund+";"Parda";"5.05";"Publica"
"1969";"Estudar";"Fund+";"Branca";"5.7";"Publica"
"1970";"Trabalhar";"Fund+";"Preta";"5.1";"Publica"
"1971";"Nao_Sabe";"Fund-";"Parda";"6.17";"Publica"
"1972";"Trabalhar";"Superior+";"Branca";"5.16";"Publica"
"1973";"Estudar";"Fund-";"Parda";"5.35";"Publica"
"1974";"Trabalhar";"Fund-";"Parda";"4.18";"Publica"
"1975";"Trabalhar";"Fund-";"Parda";"5.13";"Publica"
"1976";"Trabalhar";"Superior+";"Parda";"5.07";"Publica"
"1977";"Trabalhar";"Fund-";"Parda";"5.39";"Publica"
"1978";"Trabalhar";"Superior+";"Parda";"4.61";"Publica"
"1979";"Nao_Sabe";"Superior+";"Parda";"4.38";"Publica"
"1980";"Estudar";"Fund-";"Branca";"5.45";"Publica"
"1981";"Estudar";"Medio+";"Branca";"6.19";"Pub+Pri"
"1982";"Estudar";"Fund+";"Branca";"6.04";"Publica"
"1983";"Nao_Sabe";"Fund+";"Parda";"4.11";"Publica"
"1984";"Trabalhar";"Fund+";"Parda";"5.38";"Publica"
"1985";"Trabalhar";"Fund-";"Branca";"4.78";"Publica"
"1986";"Nao_Sabe";"Superior+";"Branca";"6.54";"Pub+Pri"
"1987";"Nao_Sabe";"Superior+";"Branca";"5.77";"Publica"
"1988";"Nao_Sabe";"Fund-";"Parda";"4.98";"Publica"
"1989";"Nao_Sabe";"Fund+";"Branca";"5.55";"Publica"
"1990";"Trabalhar";"Fund-";"Parda";"3.58";"Publica"
"1991";"Trabalhar";"Fund+";"Parda";"5.44";"Publica"
"1992";"Trabalhar";"Fund-";"Branca";"3.11";"Publica"
"1993";"Trabalhar";"Superior+";"Preta";"5.16";"Publica"
"1994";"Nao_Sabe";"Fund+";"Parda";"6.41";"Publica"
"1995";"Trabalhar";"Fund+";"Branca";"6.48";"Publica"
"1996";"Trabalhar";"Fund+";"Preta";"4.95";"Publica"
"1997";"Trabalhar";"Fund+";"Preta";"6.65";"Publica"
"1998";"Nao_Sabe";"Fund+";"Parda";"";"Publica"
"1999";"Trabalhar";"Fund-";"Parda";"5.13";"Publica"
"2000";"Trabalhar";"Superior+";"Branca";"5.73";"Publica"
"2001";"Estudar";"Medio+";"Parda";"5.84";"Publica"
"2002";"Estudar";"Medio+";"Branca";"7.62";"Privada"
"2003";"Nao_Sabe";"Fund+";"Branca";"5.86";"Publica"
"2004";"Trabalhar";"Fund+";"Parda";"6.46";"Publica"
"2005";"Trabalhar";"Fund+";"Branca";"6.21";"Publica"
"2006";"Nao_Sabe";"Fund+";"Parda";"5.91";"Privada"
"2007";"Estudar";"Fund+";"Branca";"6.53";"Publica"
"2008";"Nao_Sabe";"Medio+";"Branca";"6.01";"Publica"
"2009";"Nao_Sabe";"Superior+";"Branca";"3.78";"Publica"
"2010";"Trabalhar";"Fund-";"Preta";"5.69";"Publica"
"2011";"Trabalhar";"Fund-";"Parda";"2.97";"Publica"
"2012";"Nao_Sabe";"Fund+";"Preta";"5.34";"Publica"
"2013";"Estudar";"Medio+";"Parda";"6.32";"Publica"
"2014";"Trabalhar";"Medio+";"Branca";"6.9";"Publica"
"2015";"Nao_Sabe";"Medio+";"Branca";"6.13";"Pub+Pri"
"2016";"Estudar";"Medio+";"Preta";"5.55";"Publica"
"2017";"Trabalhar";"Fund+";"Parda";"5.84";"Publica"
"2018";"Trabalhar";"Medio+";"Parda";"5.73";"Pub+Pri"
"2019";"Trabalhar";"Medio+";"Branca";"7.49";"Publica"
"2020";"Trabalhar";"Fund+";"Parda";"4.9";"Publica"
"2021";"Trabalhar";"Fund+";"Branca";"6.05";"Publica"
"2022";"Trabalhar";"Superior+";"Branca";"5.27";"Publica"
"2023";"Nao_Sabe";"Fund+";"Preta";"5.72";"Publica"
"2024";"Trabalhar";"Fund+";"Branca";"4.17";"Publica"
"2025";"Estudar";"Fund+";"Branca";"7.28";"Publica"
"2026";"Nao_Sabe";"Superior+";"Branca";"5.28";"Publica"
"2027";"Trabalhar";"Fund+";"Branca";"4.43";"Publica"
"2028";"Trabalhar";"Superior+";"Preta";"4.51";"Publica"
"2029";"Trabalhar";"Superior+";"Preta";"4.86";"Publica"
"2030";"Trabalhar";"Fund+";"Parda";"5.41";"Publica"
"2031";"Trabalhar";"Fund+";"Parda";"5.39";"Publica"
"2032";"Trabalhar";"Fund+";"Parda";"6.85";"Publica"
"2033";"Estudar";"Superior+";"Parda";"4.66";"Publica"
"2034";"Trabalhar";"Fund-";"Parda";"5.79";"Publica"
"2035";"Nao_Sabe";"Superior+";"Preta";"4.57";"Publica"
"2036";"Nao_Sabe";"Fund+";"Parda";"6.51";"Publica"
"2037";"Nao_Sabe";"Fund+";"Parda";"5.96";"Publica"
"2038";"Trabalhar";"Fund+";"Branca";"6.28";"Publica"
"2039";"Trabalhar";"Fund-";"Parda";"5.53";"Publica"
"2040";"Trabalhar";"Superior+";"Branca";"5.51";"Publica"
"2041";"Estudar";"Medio+";"Branca";"6.11";"Publica"
"2042";"Trabalhar";"Medio+";"Preta";"5.84";"Publica"
"2043";"Nao_Sabe";"Fund-";"Parda";"5.11";"Publica"
"2044";"Nao_Sabe";"Fund+";"Branca";"6.13";"Publica"
"2045";"Estudar";"Fund+";"Branca";"5.15";"Publica"
"2046";"Trabalhar";"Fund-";"Parda";"4.07";"Publica"
"2047";"Nao_Sabe";"Fund+";"Branca";"6.97";"Publica"
"2048";"Nao_Sabe";"Superior+";"Parda";"4.35";"Publica"
"2049";"Nao_Sabe";"Fund-";"Parda";"5.76";"Publica"
"2050";"Trabalhar";"Fund-";"Preta";"4.07";"Publica"
"2051";"Nao_Sabe";"Superior+";"Parda";"4.87";"Publica"
"2052";"Trabalhar";"Fund-";"Branca";"4.98";"Publica"
"2053";"Trabalhar";"Superior+";"Parda";"4.34";"Publica"
"2054";"Nao_Sabe";"Medio+";"Branca";"6.84";"Publica"
"2055";"Nao_Sabe";"Superior+";"Parda";"4.31";"Publica"
"2056";"Estudar";"Fund+";"Branca";"5.12";"Publica"
"2057";"Nao_Sabe";"Fund+";"Preta";"4.84";"Publica"
"2058";"Trabalhar";"Fund+";"Parda";"4.2";"Publica"
"2059";"Nao_Sabe";"Fund+";"Branca";"6.03";"Pub+Pri"
"2060";"Nao_Sabe";"Fund-";"Parda";"5.9";"Publica"
"2061";"Trabalhar";"Fund+";"Parda";"6.27";"Publica"
"2062";"Trabalhar";"Superior+";"Parda";"6.94";"Publica"
"2063";"Trabalhar";"Fund+";"Branca";"5.48";"Publica"
"2064";"Trabalhar";"Medio+";"Parda";"6.66";"Pub+Pri"
"2065";"Trabalhar";"Fund+";"Preta";"4.88";"Publica"
"2066";"Estudar";"Fund+";"Preta";"5.46";"Publica"
"2067";"Nao_Sabe";"Superior+";"Parda";"6.16";"Publica"
"2068";"Nao_Sabe";"Fund+";"Preta";"5.01";"Publica"
"2069";"Nao_Sabe";"Superior+";"Branca";"4.82";"Publica"
"2070";"Trabalhar";"Fund+";"Branca";"6.82";"Publica"
"2071";"Nao_Sabe";"Fund+";"Parda";"5.78";"Privada"
"2072";"Estudar";"Medio+";"Branca";"7.14";"Pub+Pri"
"2073";"Trabalhar";"Fund+";"Preta";"5.17";"Publica"
"2074";"Trabalhar";"Fund+";"Branca";"5.2";"Publica"
"2075";"Estudar";"Fund+";"Branca";"7.18";"Publica"
"2076";"Nao_Sabe";"Superior+";"Parda";"";"Publica"
"2077";"Nao_Sabe";"Fund-";"Parda";"4.12";"Publica"
"2078";"Trabalhar";"Superior+";"Preta";"4.57";"Publica"
"2079";"Estudar";"Medio+";"Branca";"6.08";"Publica"
"2080";"Nao_Sabe";"Fund+";"Branca";"4.93";"Publica"
"2081";"Trabalhar";"Fund-";"Parda";"5.7";"Publica"
"2082";"Nao_Sabe";"Fund-";"Parda";"4.89";"Publica"
"2083";"Nao_Sabe";"Fund-";"Parda";"5.56";"Pub+Pri"
"2084";"Trabalhar";"Fund+";"Branca";"5.93";"Publica"
"2085";"Nao_Sabe";"Medio+";"Branca";"7.62";"Pub+Pri"
"2086";"Estudar";"Fund-";"Parda";"6.99";"Publica"
"2087";"Trabalhar";"Fund+";"Branca";"5.11";"Publica"
"2088";"Nao_Sabe";"Fund-";"Preta";"3.54";"Publica"
"2089";"Trabalhar";"Fund-";"Preta";"4.3";"Publica"
"2090";"Nao_Sabe";"Superior+";"Branca";"5.5";"Publica"
"2091";"Trabalhar";"Superior+";"Branca";"5.03";"Publica"
"2092";"Trabalhar";"Fund-";"Branca";"5.67";"Publica"
"2093";"Trabalhar";"Fund+";"Parda";"4.84";"Publica"
"2094";"Trabalhar";"Medio+";"Branca";"5.67";"Publica"
"2095";"Trabalhar";"Fund-";"Branca";"5.6";"Publica"
"2096";"Nao_Sabe";"Fund+";"Preta";"4.59";"Publica"
"2097";"Trabalhar";"Fund-";"Branca";"3.86";"Publica"
"2098";"Trabalhar";"Superior+";"Parda";"4.82";"Publica"
"2099";"Trabalhar";"Fund-";"Branca";"5.09";"Publica"
"2100";"Trabalhar";"Superior+";"Preta";"4.85";"Publica"
"2101";"Nao_Sabe";"Fund-";"Branca";"4.48";"Publica"
"2102";"Trabalhar";"Superior+";"Branca";"4.54";"Publica"
"2103";"Nao_Sabe";"Fund-";"Parda";"5.49";"Publica"
"2104";"Nao_Sabe";"Fund+";"Parda";"4.8";"Publica"
"2105";"Nao_Sabe";"Fund-";"Preta";"3.26";"Publica"
"2106";"Nao_Sabe";"Fund-";"Parda";"4.82";"Publica"
"2107";"Estudar";"Superior+";"Parda";"5.74";"Publica"
"2108";"Trabalhar";"Fund-";"Preta";"5.19";"Publica"
"2109";"Trabalhar";"Superior+";"Branca";"6.23";"Publica"
"2110";"Trabalhar";"Fund+";"Parda";"4.11";"Publica"
"2111";"Trabalhar";"Fund-";"Parda";"6.07";"Publica"
"2112";"Nao_Sabe";"Fund-";"Branca";"5.53";"Publica"
"2113";"Trabalhar";"Fund+";"Branca";"4.58";"Publica"
"2114";"Estudar";"Medio+";"Branca";"6.02";"Publica"
"2115";"Nao_Sabe";"Fund+";"Preta";"4.63";"Publica"
"2116";"Trabalhar";"Superior+";"Parda";"4.71";"Publica"
"2117";"Trabalhar";"Medio+";"Preta";"4.83";"Publica"
"2118";"Trabalhar";"Superior+";"Branca";"4.82";"Publica"
"2119";"Trabalhar";"Superior+";"Parda";"6.51";"Publica"
"2120";"Estudar";"Fund+";"Branca";"5.9";"Publica"
"2121";"Nao_Sabe";"Superior+";"Preta";"4.46";"Publica"
"2122";"Nao_Sabe";"Superior+";"Branca";"5.8";"Publica"
"2123";"Nao_Sabe";"Superior+";"Parda";"5.65";"Publica"
